time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,1,0.5714702010154724
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,2,0.4008827209472656
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,3,0.27920764684677124
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,4,0.19271734356880188
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,5,0.13180895149707794
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,6,0.08945300430059433
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,7,0.06041660159826279
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,8,0.04081674665212631
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,9,0.027810659259557724
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,10,0.019318675622344017
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,11,0.01385868526995182
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,12,0.010410111397504807
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,13,0.008235166780650616
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,14,0.006900690030306578
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,15,0.006032160017639399
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,16,0.005463610868901014
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,17,0.00508767319843173
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,18,0.004819907713681459
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,19,0.004623545333743095
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,20,0.004433214198797941
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,21,0.0042855385690927505
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,22,0.004146928433328867
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,23,0.0040275114588439465
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,24,0.0039286925457417965
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,25,0.0038149275351315737
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,26,0.003721090732142329
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,27,0.0036346951965242624
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,28,0.00357517646625638
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,29,0.003473440418019891
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,30,0.0034114595036953688
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,31,0.003343047574162483
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,32,0.0032753103878349066
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,33,0.003208358073607087
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,34,0.0031696956139057875
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,35,0.0031095927115529776
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,36,0.003068874590098858
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,37,0.003015473484992981
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,38,0.0029609380289912224
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,39,0.002935093827545643
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,40,0.0029033098835498095
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,41,0.002849859418347478
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,42,0.002812193240970373
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,43,0.002772863022983074
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,44,0.002745877020061016
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,45,0.0027178472373634577
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,46,0.0027005914598703384
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,47,0.0026600565761327744
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,48,0.002632442396134138
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,49,0.0026029127184301615
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,50,0.0025811996310949326
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,51,0.002570578595623374
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,52,0.0025444054044783115
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,53,0.0025155050680041313
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,54,0.0025026260409504175
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,55,0.0024777173530310392
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,56,0.0024564003106206656
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,57,0.0024528969079256058
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,58,0.0024208149407058954
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,59,0.0024141366593539715
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,60,0.0024131126701831818
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,61,0.0023743913043290377
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,62,0.0023564512375742197
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,63,0.002352146664634347
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,64,0.002359224483370781
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,65,0.0023267949000000954
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,66,0.0023212628439068794
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,67,0.0022946333047002554
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,68,0.0022988254204392433
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,69,0.0022961951326578856
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,70,0.0022788357455283403
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,71,0.0022508292458951473
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,72,0.0022459649480879307
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,73,0.0022350908257067204
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,74,0.002258243504911661
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,75,0.0022048314567655325
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,76,0.002216826658695936
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,77,0.00223824055865407
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,78,0.0022194962948560715
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,79,0.0021838429383933544
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,80,0.0021852580830454826
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,81,0.002170976484194398
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,82,0.002183685079216957
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,83,0.002255216473713517
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,84,0.0021510778460651636
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,85,0.002181049669161439
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,86,0.0021281896624714136
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,87,0.002142523881047964
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,88,0.0021469867788255215
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,89,0.0021368004381656647
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,90,0.002117988420650363
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,91,0.00213425001129508
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,92,0.0021606902591884136
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,93,0.002144748345017433
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,94,0.0021011929493397474
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,95,0.002104048617184162
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,96,0.0020993370562791824
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,97,0.002071710769087076
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,98,0.002066635061055422
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,99,0.0020733012352138758
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,100,0.0020765888039022684
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,101,0.002070949412882328
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,102,0.0020702399779111147
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,103,0.002059143502265215
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,104,0.0020720905158668756
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,105,0.0020334250293672085
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,106,0.002055264310911298
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,107,0.002028815448284149
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,108,0.002022841712459922
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,109,0.0020338210742920637
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,110,0.0020252170506864786
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,111,0.002026804257184267
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,112,0.0020236612763255835
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,113,0.0020238717552274466
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,114,0.002016996266320348
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,115,0.0020039097871631384
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,116,0.0020170954521745443
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,117,0.0020213325042277575
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,118,0.001993697602301836
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,119,0.001990137156099081
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,120,0.001998641761019826
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,121,0.001980844186618924
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,122,0.0019816942512989044
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,123,0.0020096972584724426
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,124,0.0019812544342130423
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,125,0.0020279912278056145
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,126,0.001994425430893898
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,127,0.001966301118955016
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,128,0.0019724711310118437
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,129,0.0019935034215450287
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,130,0.0019602407701313496
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,131,0.002026783535256982
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,132,0.002014123136177659
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,133,0.0019714233931154013
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,134,0.0019665518775582314
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,135,0.001967160264030099
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,136,0.001978053245693445
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,137,0.0019509656121954322
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,138,0.0019384273327887058
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,139,0.0019498176407068968
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,140,0.0019315129611641169
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,141,0.0019423934863880277
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,142,0.001947800861671567
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,143,0.0019425656646490097
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,144,0.001930133206769824
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,145,0.0019397508585825562
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,146,0.001931963488459587
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,147,0.0019748795311897993
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,148,0.0019256753148511052
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,149,0.0020035903435200453
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,150,0.0019364035688340664
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,151,0.001940709538757801
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,152,0.0019527581753209233
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,153,0.0019266646122559905
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,154,0.0019531678408384323
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,155,0.001969594042748213
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,156,0.0019155974732711911
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,157,0.0019258997635915875
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,158,0.001931868027895689
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,159,0.0019415179267525673
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,160,0.0019103734521195292
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,161,0.0019079658668488264
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,162,0.0018990101525560021
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,163,0.001953943632543087
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,164,0.00195634295232594
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,165,0.0019190931925550103
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,166,0.0018948778742924333
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,167,0.001892655622214079
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,168,0.001905647455714643
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,169,0.0019238537643104792
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,170,0.0019529549172148108
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,171,0.0018924769246950746
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,172,0.001916990033350885
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,173,0.0019026125082746148
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,174,0.0019099806668236852
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,175,0.0019116909243166447
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,176,0.0019099999917671084
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,177,0.0019152769818902016
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,178,0.0018969717202708125
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,179,0.001917753485031426
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,180,0.001960211666300893
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,181,0.0018965930212289095
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,182,0.0018993278499692678
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,183,0.0018925621407106519
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,184,0.001886405167169869
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,185,0.0018839287804439664
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,186,0.0018729999428614974
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,187,0.0019137624185532331
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,188,0.0018932424718514085
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,189,0.001887985970824957
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,190,0.0018883473239839077
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,191,0.0018967100186273456
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,192,0.0018961004680022597
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,193,0.001941188587807119
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,194,0.0018849631305783987
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,195,0.0018926196498796344
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,196,0.0018740782979875803
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,197,0.001919397385790944
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,198,0.001898153219372034
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,199,0.0018792315386235714
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,200,0.0018669473938643932
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,1,0.013737144879996777
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,2,0.01323540136218071
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,3,0.013180425390601158
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,4,0.013164372183382511
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,5,0.013125680387020111
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,6,0.013157736510038376
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,7,0.013138576410710812
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,8,0.013088418170809746
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,9,0.013073557056486607
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,10,0.01305817998945713
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,11,0.013039717450737953
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,12,0.013118844479322433
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,13,0.013055113144218922
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,14,0.013068988919258118
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,15,0.013051067478954792
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,16,0.013096711598336697
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,17,0.012984809465706348
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,18,0.013020499609410763
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,19,0.013020990416407585
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,20,0.01299329660832882
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,21,0.013009320944547653
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,22,0.013011172413825989
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,23,0.012998257763683796
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,24,0.012955970130860806
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,25,0.012928243726491928
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,26,0.012885290198028088
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,27,0.013087845407426357
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,28,0.012896559201180935
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,29,0.012924619019031525
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,30,0.012924796901643276
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,31,0.012934951111674309
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,32,0.01286079827696085
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,33,0.012910643592476845
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,34,0.01289437711238861
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,35,0.012879443354904652
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,36,0.01289497409015894
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,37,0.012869090773165226
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,38,0.012872181832790375
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,39,0.012862248346209526
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,40,0.012834940105676651
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,41,0.012866925448179245
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,42,0.012815580703318119
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,43,0.012799770571291447
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,44,0.012903442606329918
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,45,0.012841264717280865
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,46,0.012890497222542763
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,47,0.012849098071455956
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,48,0.012798644602298737
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,49,0.012820648960769176
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,50,0.01296880841255188
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,51,0.012792414985597134
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,52,0.012816225178539753
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,53,0.012843088246881962
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,54,0.012810866348445415
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,55,0.012779226526618004
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,56,0.012770015746355057
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,57,0.012829647399485111
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,58,0.012784155085682869
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,59,0.012865200638771057
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,60,0.0127841392531991
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,61,0.012680472806096077
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,62,0.012811336666345596
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,63,0.012830543331801891
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,64,0.012739205732941628
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,65,0.012752922251820564
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,66,0.012744316831231117
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,67,0.012783647514879704
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,68,0.01276322640478611
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,69,0.012821021489799023
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,70,0.012760302983224392
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,71,0.012684965506196022
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,72,0.012744365260004997
2023-01-01,site_0027,2023-01-01,2024-04-30,site,,2,73,0.012733636423945427
