time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,1,0.5728387832641602
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,2,0.3999427258968353
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,3,0.27878057956695557
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,4,0.1930273473262787
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,5,0.13273859024047852
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,6,0.09082993865013123
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,7,0.062085095793008804
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,8,0.04267147555947304
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,9,0.029759982600808144
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,10,0.021306602284312248
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,11,0.01585087738931179
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,12,0.01236914936453104
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,13,0.010135351680219173
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,14,0.008699681609869003
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,15,0.00775161711499095
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,16,0.007101572584360838
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,17,0.00662135798484087
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,18,0.006248976569622755
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,19,0.005941321607679129
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,20,0.005676842760294676
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,21,0.005443065892904997
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,22,0.005241780076175928
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,23,0.005017483606934547
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,24,0.004844746086746454
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,25,0.004677169024944305
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,26,0.004514283500611782
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,27,0.004390065558254719
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,28,0.004248376470059156
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,29,0.004128902684897184
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,30,0.004006415139883757
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,31,0.003910657484084368
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,32,0.0038109333254396915
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,33,0.003724789945408702
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,34,0.003633194137364626
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,35,0.0035617935936897993
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,36,0.0034814919345080853
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,37,0.0034187438432127237
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,38,0.003342611948028207
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,39,0.0032912970054894686
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,40,0.0032448202837258577
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,41,0.0031771031208336353
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,42,0.003140410641208291
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,43,0.003088289173319936
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,44,0.003036241512745619
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,45,0.0029926225543022156
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,46,0.002964983694255352
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,47,0.0029250059742480516
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,48,0.002882525324821472
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,49,0.0028430253732949495
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,50,0.002833960810676217
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,51,0.00277892779558897
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,52,0.002774724503979087
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,53,0.00274397199973464
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,54,0.0027242465876042843
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,55,0.002686295425519347
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,56,0.0026508267037570477
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,57,0.002616178710013628
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,58,0.0026164972223341465
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,59,0.002612605458125472
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,60,0.0026093609631061554
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,61,0.002539760200306773
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,62,0.0025239503011107445
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,63,0.0025305121671408415
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,64,0.002495852066203952
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,65,0.002469442319124937
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,66,0.0024592315312474966
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,67,0.0024337272625416517
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,68,0.002421861281618476
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,69,0.0024298247881233692
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,70,0.0024048034101724625
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,71,0.002386893145740032
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,72,0.0023697444703429937
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,73,0.002360375365242362
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,74,0.0023463075049221516
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,75,0.0023533455096185207
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,76,0.002321576466783881
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,77,0.002305277856066823
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,78,0.0022958663757890463
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,79,0.0023076196666806936
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,80,0.002286413451656699
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,81,0.0022784057073295116
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,82,0.002264653332531452
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,83,0.0022421441972255707
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,84,0.0022461609914898872
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,85,0.0022320011630654335
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,86,0.002217225031927228
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,87,0.002212921157479286
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,88,0.0022173551842570305
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,89,0.002199898473918438
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,90,0.002189581748098135
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,91,0.0022000682074576616
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,92,0.002190645784139633
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,93,0.002177885500714183
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,94,0.0021590953692793846
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,95,0.002144135069102049
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,96,0.0021424675360322
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,97,0.0021423185244202614
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,98,0.002133406465873122
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,99,0.0021334122866392136
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,100,0.002118491567671299
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,101,0.002135316375643015
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,102,0.002119516022503376
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,103,0.002125730039551854
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,104,0.002088489942252636
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,105,0.002108786953613162
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,106,0.0020965789444744587
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,107,0.002095320960506797
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,108,0.0021259207278490067
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,109,0.0020971873309463263
2023-02-26,site_0030,2023-02-26,2023-09-12,site,,1,110,0.002067732624709606
